date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:07:04	36221/36221	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:06%20GMT	https://www.equancy.fr/fr/cas-client/segmentation-activation-des-segments	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/segmentation-activation-des-segments.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:04	59076/59076	---M--	200	added ('OK')	image/jpeg	etag:%22e6c4-5b4f1d5002c38%22	https://www.equancy.fr/uploads/media/5fbe958537d20_cas-client-dpr.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5fbe958537d20_cas-client-dpr.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:04	113731/113731	---M--	200	added ('OK')	image/jpeg	etag:%221bc43-5b1a3f2b068c9%22	https://www.equancy.fr/uploads/media/5f621f992695c_la-prairie.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f621f992695c_la-prairie.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:04	35460/35460	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:06%20GMT	https://www.equancy.fr/fr/cas-client/cartographie-et-refonte-des-parcours-clients	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/cartographie-et-refonte-des-parcours-clients.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:05	138956/138956	---M--	200	added ('OK')	image/jpeg	etag:%2221ecc-5b1a3f2aa7d26%22	https://www.equancy.fr/uploads/media/5f50aa207c002_cartographie-et-refonte-des-parcours-clients.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f50aa207c002_cartographie-et-refonte-des-parcours-clients.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:05	35515/35515	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:07%20GMT	https://www.equancy.fr/fr/cas-client/evolution-et-positionnement-de-loffre-epargne-retraite-loi-pacte	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/evolution-et-positionnement-de-loffre-epargne-retraite-loi-pacte.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:06	37187/37187	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:07%20GMT	https://www.equancy.fr/fr/cas-client/optimiser-ses-investissements-promotionnels-via-un-plan-daction-commercial-data-driven	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/optimiser-ses-investissements-promotionnels-via-un-plan-daction-commercial-data-driven.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:06	35330/35330	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:08%20GMT	https://www.equancy.fr/fr/cas-client/refonte-de-la-customer-experience	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/refonte-de-la-customer-experience.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:07	36428/36428	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:09%20GMT	https://www.equancy.fr/fr/cas-client/data-driven-marketing	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/data-driven-marketing.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:08	94227/94227	---M--	200	added ('OK')	image/jpeg	etag:%2217013-5b1a3f29b2b3d%22	https://www.equancy.fr/uploads/media/5f62292de996b_photo-1516733968668-dbdce39c4651.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f62292de996b_photo-1516733968668-dbdce39c4651.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:08	630141/630141	---M--	200	added ('OK')	image/png	etag:%2299d7d-5b1a3f282c131%22	https://www.equancy.fr/uploads/media/5f50ec7159768_optimiser-ses-investissement-promo-via-un-plan-daction-commercial-data-driven.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f50ec7159768_optimiser-ses-investissement-promo-via-un-plan-daction-commercial-data-driven.png	(from https://www.equancy.fr/fr/cas-clients)
15:07:08	35624/35624	---M-Z	200	added ('OK')	text/html	date:Mon,%2008%20Mar%202021%2010:07:10%20GMT	https://www.equancy.fr/fr/cas-client/strategie-dinnovations-services	C:/Users/Reception/Desktop/TEST/www.equancy.fr/fr/cas-client/strategie-dinnovations-services.html	(from https://www.equancy.fr/fr/cas-clients)
15:07:14	604435/604435	---M--	200	added ('OK')	image/jpeg	etag:%2293913-5b1a3f274f5e9%22	https://www.equancy.fr/uploads/media/5f622aa967ecb_kumpan-electric-upxglogxxle-unsplash.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f622aa967ecb_kumpan-electric-upxglogxxle-unsplash.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:14	486236/486236	---M--	200	added ('OK')	image/jpeg	etag:%2276b5c-5b1a3f2764daa%22	https://www.equancy.fr/uploads/media/5f622b8482b42_agence-hertz-location.jpg	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f622b8482b42_agence-hertz-location.jpg	(from https://www.equancy.fr/fr/cas-clients)
15:07:20	981891/981891	---M--	200	added ('OK')	image/png	etag:%22efb83-5b1a3f2b5e70c%22	https://www.equancy.fr/uploads/media/5f2ad3b5dd311_capture-decran-2020-08-05-a-17-43-30.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f2ad3b5dd311_capture-decran-2020-08-05-a-17-43-30.png	(from https://www.equancy.fr/fr/pourquoi-nous-rejoindre)
15:07:20	2354214/2354214	---M--	200	added ('OK')	image/png	etag:%2223ec26-5b1a3f2a73164%22	https://www.equancy.fr/uploads/media/5f6223ab038d0_generali-illu.png	C:/Users/Reception/Desktop/TEST/www.equancy.fr/uploads/media/5f6223ab038d0_generali-illu.png	(from https://www.equancy.fr/fr/cas-clients)
